player,degree,pagerank,degree_centrality,eigenvector_centrality,clustering_coeff,community,matches_played,avg_kills,win_rate
6thking,9,2.3792586661890568e-05,0.0010236578707916288,1.1175839022804915e-06,0.008497692402480316,16,2,14.0,0.0
7-sep,40,8.112264138253987e-05,0.004549590536851684,1.2527120249074335e-05,0.006780088953887713,0,20,12.3,0.4
702,19,2.9031432011012335e-05,0.0021610555050045497,1.2439089471200313e-05,0.009405622005345242,16,5,12.4,0.6
7kk,9,4.1095717244976965e-05,0.0010236578707916288,5.319957454083627e-07,0.007154160584019169,0,2,4.5,0.0
7ssk7,207,0.0004222901539142187,0.023544131028207464,0.0003937657288806827,0.004225848293628394,3,135,16.992592592592594,0.5037037037037037
7ãªvãªn,9,3.0900293452197166e-05,0.0010236578707916288,4.234547763933333e-06,0.011198803625863278,3,2,5.5,0.0
8,89,0.00011899403931700662,0.010122838944494996,5.741109892784976e-05,0.005795091681801063,0,37,12.972972972972974,0.4864864864864865
813,14,2.6881770427277546e-05,0.0015923566878980893,2.8727950275254024e-06,0.011067889739022679,0,4,10.25,1.0
8bq,9,3.292226277582476e-05,0.0010236578707916288,1.1378461043200972e-06,0.008694261494180532,0,2,6.0,0.0
8lua,137,0.0002239587241369862,0.015582347588717016,0.0004219255547942867,0.00554376106280639,0,72,15.472222222222221,0.4861111111111111
959y,64,0.00010542412583701895,0.007279344858962694,2.9696941503590648e-05,0.0030978379301836623,0,22,13.227272727272727,0.09090909090909091
959y x y æ´?,21,6.548906657291153e-05,0.0023885350318471337,6.4439221383414634e-06,0.009004499173990991,0,11,14.909090909090908,0.45454545454545453
999kvmil,92,0.0001606283532357678,0.010464058234758872,6.136217508859885e-05,0.007401429530912817,3,47,16.170212765957448,0.44680851063829785
9er,44,0.0001714805518564369,0.005004549590536852,0.0009647660183936436,0.00476005767969338,15,23,14.956521739130435,0.4782608695652174
9mkk,30,7.1512728869418e-05,0.0034121929026387624,9.35407066553394e-05,0.009628429789697983,0,17,11.705882352941176,0.5294117647058824
9ondoss,22,8.045562335947415e-05,0.002502274795268426,1.4709351772499804e-06,0.004415454334439952,14,7,14.285714285714286,0.14285714285714285
9st,93,0.00016529546743103643,0.010577797998180163,0.00012129139336009692,0.005864795779321009,0,50,14.32,0.48
9th,14,3.502519206189071e-05,0.0015923566878980893,1.6901089850956753e-06,0.006924443751816904,16,4,10.75,0.0
9tribez,9,2.4241392912930572e-05,0.0010236578707916288,4.601625596521914e-06,0.019082341583550877,0,3,13.666666666666666,0.3333333333333333
a v,9,3.854763507786403e-05,0.0010236578707916288,1.6908252946932115e-07,0.007198905588888559,3,2,12.0,0.0
a1dz,9,2.9584496070177632e-05,0.0010236578707916288,0.00028265814573191653,0.006257124524991541,1,1,5.0,0.0
a1lexsv,48,7.684528499046123e-05,0.00545950864422202,1.763219621526672e-05,0.008962050312138495,16,18,11.222222222222221,0.05555555555555555
a1mly,73,0.0001771336804763376,0.008303002729754323,2.6567399724066748e-05,0.006764490630854297,14,40,13.475,0.5
a1s,9,2.5330072837140202e-05,0.0010236578707916288,1.1109874739528065e-05,0.010676571880536608,12,2,6.5,0.0
a2guapo,32,5.8152361906251225e-05,0.003639672429481347,0.0017420297716547039,0.009213232605599017,7,14,15.357142857142858,0.6428571428571429
a77,115,0.00019873026452316497,0.01308007279344859,0.006882005408511895,0.0036569907901032126,1,44,13.090909090909092,0.4772727272727273
aaaay,119,0.0003186874872802517,0.013535031847133758,0.0004164448069982384,0.01280863162948589,0,135,16.348148148148148,0.5481481481481482
aak,141,0.0003475513950257345,0.016037306642402185,0.0003382409240713459,0.008928487119542947,0,134,16.649253731343283,0.5373134328358209
aanszo,28,4.41185283186129e-05,0.0031847133757961785,1.304427623861245e-05,0.00899645669258267,16,10,16.4,0.2
aarea51,9,2.7506874810008844e-05,0.0010236578707916288,5.418800046701671e-07,0.004248877917574486,7,1,24.0,0.0
